variant,glom_a,glom_b,n_a,n_b,n_overlap,n_union,N,D_set,D_mag_sum,D_mag_mean,importance_sum,importance_mean,D_mag_sum_a,D_mag_sum_b,synergy
pn,VA4,VM5v,5,14,1,18,500,0.030000000000000027,0.31783419847488403,0.31242305040359497,0.17391709923744203,0.1712115252017975,0.13133090734481812,0.27131348848342896,-0.04917835073594645
pn,VA4,VM6,5,18,1,22,500,0.07999999999999996,0.40979284048080444,0.4024569094181061,0.2448964202404022,0.24122845470905302,0.13133090734481812,0.3640657067298889,-0.03779069399593382
pn,VA4,VM6l,5,19,1,23,500,0.07799999999999996,0.41433823108673096,0.4070596396923065,0.24616911554336546,0.24252981984615324,0.13133090734481812,0.3691297769546509,-0.037644304677293405
pn,VA4,VM6m,5,12,1,16,500,0.07799999999999996,0.41422039270401,0.4069400131702423,0.24611019635200498,0.24247000658512113,0.13133090734481812,0.3689984083175659,-0.03764802718523441
pn,VA4,VM6v,5,18,1,22,500,0.06999999999999995,0.43830013275146484,0.4319264888763428,0.2541500663757324,0.25096324443817136,0.13133090734481812,0.39571332931518555,-0.03677471332113669
pn,VA4,VM7d,5,17,1,21,500,0.02400000000000002,0.2068800926208496,0.2035892903804779,0.11544004631042482,0.11379464519023896,0.13133090734481812,0.09683513641357422,-0.008568504809488786
pn,VA4,VM7v,5,13,2,16,500,0.02400000000000002,0.16700255870819092,0.16394853591918945,0.09550127935409547,0.09397426795959474,0.13133090734481812,0.09899049997329712,-0.05031833642991401
pn,VA5,VA6,12,21,1,32,500,0.04800000000000004,0.3997423052787781,0.3971078395843506,0.22387115263938906,0.22255391979217531,0.18265801668167114,0.30973321199417114,-0.03607366919376531
pn,VA5,VA7l,12,2,0,14,500,0.04800000000000004,0.3432294726371765,0.33852770924568176,0.19561473631858828,0.1932638546228409,0.18265801668167114,0.2288380265235901,-0.026467470501938095
pn,VA5,VA7m,12,17,3,26,500,0.014000000000000012,0.25977498292922974,0.25595593452453613,0.13688749146461487,0.13497796726226807,0.18265801668167114,0.1587257981300354,-0.052616292399829234
pn,VA5,VC1,12,17,0,29,500,0.04600000000000004,0.4502168297767639,0.4408501088619232,0.24810841488838198,0.24342505443096163,0.18265801668167114,0.37047135829925537,-0.03524298165985584
pn,VA5,VC2,12,7,0,19,500,0.052000000000000046,0.38519078493118286,0.37620270252227783,0.21859539246559145,0.21410135126113894,0.18265801668167114,0.2858002185821533,-0.03106374923923738
pn,VA5,VC3,12,24,1,35,500,0.03200000000000003,0.3882627487182617,0.38139113783836365,0.21013137435913087,0.20669556891918184,0.18265801668167114,0.29464036226272583,-0.03521720602085665
pn,VA5,VC4,12,12,1,23,500,0.020000000000000018,0.24723249673843384,0.24334484338760376,0.13361624836921693,0.1316724216938019,0.18265801668167114,0.10284054279327393,-0.019481413155425287
pn,VA5,VC5,12,30,1,41,500,0.07999999999999996,0.540070116519928,0.5320688486099243,0.31003505825996397,0.30603442430496214,0.18265801668167114,0.48843318223953247,-0.04180484605188539
pn,VA5,VL1,12,23,0,35,500,0.028000000000000025,0.26583659648895264,0.26743221282958984,0.14691829824447633,0.14771610641479493,0.18265801668167114,0.1177147626876831,-0.01303463779371583
pn,VA5,VL2a,12,14,1,25,500,0.04800000000000004,0.3617372512817383,0.3570750057697296,0.20486862564086916,0.20253750288486483,0.18265801668167114,0.2601777911186218,-0.03357499720820911
pn,VA5,VL2p,12,33,1,44,500,0.08199999999999996,0.4545019268989563,0.449704647064209,0.26825096344947813,0.2658523235321045,0.18265801668167114,0.3817470669746399,-0.04017399462972193
pn,VA5,VM1,12,12,1,23,500,0.020000000000000018,0.2861214876174927,0.2824016809463501,0.15306074380874635,0.15120084047317506,0.18265801668167114,0.15553343296051025,-0.02366053363243026
pn,VA5,VM2,12,11,0,23,500,0.020000000000000018,0.25961482524871826,0.2542220652103424,0.13980741262435914,0.1371110326051712,0.18265801668167114,0.11098241806030273,-0.013753781123824638
pn,VA5,VM3,12,13,1,24,500,0.026000000000000023,0.3203393816947937,0.31476858258247375,0.17316969084739686,0.1703842912912369,0.18265801668167114,0.20366835594177246,-0.028785332971509092
pn,VA5,VM4,12,19,0,31,500,0.040000000000000036,0.3330967426300049,0.32734471559524536,0.18654837131500246,0.1836723577976227,0.18265801668167114,0.21491551399230957,-0.02522074650401862
pn,VA5,VM5d,12,21,0,33,500,0.06399999999999995,0.4830248951911926,0.4716150462627411,0.2735124475955963,0.2678075231313705,0.18265801668167114,0.4126165509223938,-0.0368819515713561
pn,VA5,VM5v,12,14,1,25,500,0.026000000000000023,0.3709437847137451,0.36396342515945435,0.19847189235687257,0.19498171257972718,0.18265801668167114,0.27131348848342896,-0.03347013674598642
pn,VA5,VM6,12,18,0,30,500,0.07799999999999996,0.44471120834350586,0.4372839629650116,0.2613556041717529,0.2576419814825058,0.18265801668167114,0.3640657067298889,-0.035512995134961756
pn,VA5,VM6l,12,19,1,30,500,0.07799999999999996,0.44439995288848877,0.4367866814136505,0.26119997644424436,0.25739334070682524,0.18265801668167114,0.3691297769546509,-0.039963327791149084
pn,VA5,VM6m,12,12,1,23,500,0.07799999999999996,0.44429486989974976,0.4366799294948578,0.26114743494987486,0.2573399647474289,0.18265801668167114,0.3689984083175659,-0.03996103767750725
pn,VA5,VM6v,12,18,1,29,500,0.06000000000000005,0.4658054709434509,0.4590579867362976,0.2629027354717255,0.25952899336814883,0.18265801668167114,0.39571332931518555,-0.040285663146192974
pn,VA5,VM7d,12,17,0,29,500,0.014000000000000012,0.2502673268318176,0.2465183585882187,0.13213366341590882,0.13025917929410935,0.18265801668167114,0.09683513641357422,-0.011538112301025194
pn,VA5,VM7v,12,13,0,25,500,0.020000000000000018,0.2509669065475464,0.24610626697540283,0.1354834532737732,0.13305313348770142,0.18265801668167114,0.09899049997329712,-0.012600201711972403
pn,VA6,VA7l,21,2,0,23,500,0.07399999999999995,0.4282539486885071,0.4267809987068176,0.2511269743442535,0.2503904993534088,0.30973321199417114,0.2288380265235901,-0.03943855284769526
pn,VA6,VA7m,21,17,3,35,500,0.040000000000000036,0.37300097942352295,0.37242457270622253,0.2065004897117615,0.20621228635311128,0.30973321199417114,0.1587257981300354,-0.046295379419529326
